item_url,ts,top_buy_avg,buy_count,top_sell_avg,sell_count,platform,weekly_volume_est
legendary_fusion_core,2025-08-12T21:43:24Z,81.0,19,98.0,22,pc,559
tigris_prime_stock,2025-08-12T21:43:25Z,,0,5.0,14,pc,50
spinning_needle,2025-08-12T21:43:26Z,,0,3.667,24,pc,33
snipetron_vandal_stock,2025-08-12T21:43:26Z,2.0,2,15.0,3,pc,17
wildfire,2025-08-12T21:43:28Z,1.0,1,2.667,27,pc,58
bane_of_grineer,2025-08-12T21:43:28Z,35.0,1,2.333,16,pc,7
scimitar_avionics_blueprint,2025-08-12T21:43:29Z,5.0,1,7.333,13,pc,31
reflex_guard,2025-08-12T21:43:30Z,41.333,5,3.0,27,pc,156
everlasting_ward,2025-08-12T21:43:31Z,,0,13.333,17,pc,14
ash_prime_neuroptics_blueprint,2025-08-12T21:43:32Z,5.0,2,10.0,20,pc,224
jolt,2025-08-12T21:43:33Z,20.333,10,39.667,51,pc,197
vectis_prime_stock,2025-08-12T21:43:34Z,8.0,1,15.333,12,pc,74
stunning_speed,2025-08-12T21:43:35Z,,0,2.333,25,pc,16
primed_continuity,2025-08-12T21:43:36Z,100.333,21,48.667,55,pc,342
bo_prime_handle,2025-08-12T21:43:38Z,6.0,2,20.0,7,pc,110
crash_course,2025-08-12T21:43:38Z,,0,4.333,17,pc,13
vital_systems_bypass,2025-08-12T21:43:40Z,,0,149.0,1,pc,5
singularity,2025-08-12T21:43:40Z,,0,8.333,10,pc,8
lethal_momentum,2025-08-12T21:43:41Z,,0,6.0,19,pc,95
primed_bane_of_infested,2025-08-12T21:43:42Z,93.0,9,59.667,21,pc,16
primed_bane_of_corpus,2025-08-12T21:43:43Z,30.0,2,16.333,56,pc,24
carrier_prime_blueprint,2025-08-12T21:43:44Z,,0,10.0,23,pc,113
vulpine_mask,2025-08-12T21:43:45Z,,0,1.333,31,pc,9
primed_bane_of_grineer,2025-08-12T21:43:46Z,88.333,20,48.333,38,pc,39
vectis_prime_barrel,2025-08-12T21:43:46Z,6.0,1,12.667,20,pc,91
