item_url,ts,platform,top_buy_avg,buy_count,top_sell_avg,sell_count
knell_prime_receiver,2025-10-01T01:56:45+00:00,pc,,0,5.0,7
knell_prime_set,2025-10-01T01:56:45+00:00,pc,14.333,3,37.0,14
kogake_prime_blueprint,2025-10-01T01:56:46+00:00,pc,,0,11.5,2
kogake_prime_boot,2025-10-01T01:56:47+00:00,pc,,0,8.0,7
kogake_prime_gauntlet,2025-10-01T01:56:47+00:00,pc,7.0,1,18.333,3
kogake_prime_set,2025-10-01T01:56:48+00:00,pc,55.0,2,88.0,15
kompressa_prime_barrel,2025-10-01T01:56:48+00:00,pc,5.0,4,8.333,12
kompressa_prime_blueprint,2025-10-01T01:56:49+00:00,pc,3.5,2,6.667,4
kompressa_prime_reciever,2025-10-01T01:56:50+00:00,pc,5.5,2,8.333,10
kompressa_prime_set,2025-10-01T01:56:50+00:00,pc,10.0,1,30.0,23
